scientific_name;common_name;taxon_id
Viola canina;Hunde-viol;124359
Anemonoides nemorosa;Hvid anemone;950603
Rhynchospora alba;Hvid næbfrø;57862
Galium mollugo;Hvid snerre;77206
Trifolium repens;Hvid-kløver;55745
Luzula pilosa;Håret frytle;69613
Pilosella officinarum;Håret høgeurt;402509
Carex hirta;Håret star;159973
Viola hirta;Håret viol;286612
Trifolium fragiferum;Jordbær-kløver;58167
Caltha palustris;Kabbeleje;56224
Struthiopteris spicant;Kambregne;774894
Melampyrum cristatum;Kantet kohvede;57494
Silene conica;Kegle-limurt;61118
Erica tetralix;Klokkelyng;162431
Scrophularia nodosa;Knoldet brunrod;124485
Filipendula vulgaris;Knoldet mjødurt;62020
Ranunculus bulbosus;Knold-ranunkel;78820
Juncus conglomeratus;Knop-siv;204335
Alopecurus geniculatus;Knæbøjet rævehale;71140
Goodyera repens;Knærod;62407
Saxifraga granulata;Kornet stenbræk;124135
Glechoma hederacea;Korsknap;55830
Comarum palustre;Kragefod;62213
Ononis spinosa;Krageklo;82730
Lathyrus linifolius;Krat-fladbælg;85072
Viola riviniana;Krat-viol;61481
Carex lepidocarpa;Krognæb-star;635562
Rumex crispus;Kruset skræppe;53197
Holcus mollis;Krybende hestegræs;77427
Ajuga reptans;Krybende læbeløs;56099
Salix repens;Krybende Pil;321283
Potentilla reptans;Krybende potentil;167373
Agrostis stolonifera;Kryb-hvene;69931
Thelypteris palustris;Kærbregne;82569
Stachys palustris;Kær-galtetand;57457
Equisetum palustre;Kær-padderok;76846
Galium palustre;Kær-snerre;163184
Carex acutiformis;Kær-star;159858
Cirsium palustre;Kær-tidsel;160623
Dactylorhiza incarnata;Kødfarvet gøgeurt;48982
Cirsium oleraceum;Kål-tidsel;133653
Plantago lanceolata;Lancetvejbred;53178
Ranunculus repens;Lav ranunkel;48229
Medicago minima;Liden sneglebælg;77971
Drosera intermedia;Liden soldug;53038
Convallaria majalis;Liljekonval;48206
Equisetum pratense;Lund-padderok;127900
Poa nemoralis;Lund-rapgræs;78649
Galium saxatile;Lyngsnerre;130303
Juncus effusus;Lyse-siv;56153
Cynoglossum officinale;Læge-hundetunge;48152
Anchusa officinalis;Lægeoksetunge;75430
Veronica officinalis;Læge-ærenpris;129020
Alliaria petiolata;Løgkarse;56061
Epilobium hirsutum;Lådden dueurt;84517
Maianthemum bifolium;Majblomst;50247
Dactylorhiza majalis;Maj-gøgeurt;133492
Luzula multiflora;Mangeblomstret frytle;164948
Eleocharis multicaulis;Mangestænglet sumpstrå;338059
Leymus arenarius;marehalm;164671
Artemisia campestris;Mark-bynke;127960
Luzula campestris;Mark-frytle;55795
Viola odorata;Martsviol;55845
Milium effusum;Miliegræs;165390
Prunus cerasifera;Mirabel;55837
Deschampsia cespitosa;Mose-bunke;76639
Vaccinium uliginosum;Mose-bølle;64714
Vicia cracca;Muse-vikke;52471
Bromus erectus;NA;159458
Carex divulsa;NA;76033
Carex viridula;NA;76128
Festuca trachyphylla;NA;77148
Myosotis arvensis;NA;51726
NA;NA;129449
Thinopyrum junceum;NA;866524
Acer campestre;Navr;56193
Melica nutans;Nikkende flitteraks;448134
Pulsatilla pratensis;Nikkende kobjælde;57393
Silene nutans;Nikkende limurt;124138
Carex acuta;Nikkende star;435946
Ranunculus auricomus;Nyrebladet ranunkel;124817
Urtica dioica;Nælde;51884
Pulsatilla vulgaris;Opret kobjælde;60786
Carex pilulifera;Pillestar;437973
Dactylorhiza maculata;Plettet gøgeurt;82159
Hypochaeris maculata;Plettet kongepen;336279
Ajuga pyramidalis;Pyramide-læbeløs;133012
Potentilla recta;Rank potentil;62211
Empetrum nigrum;Revling;76812
Andromeda polifolia;Rosmarinlyng;119892
Drosera rotundifolia;Rundbladet soldug;52658
Anthyllis vulneraria;Rundbælg;82685
Festuca rubra;Rød svingel;61061
Lamium purpureum;Rød tvetand;55851
Alnus glutinosa;Rød-El;966205
Picea abies;Rød-gran;63567
Trifolium pratense;Rød-kløver;51875
Rumex acetosella;Rødknæ;53195
Phalaris arundinacea;Rørgræs;63337
Ammophila arenaria;Sand-hjælme;61055
Lysimachia maritima;Sandkryb;204175
Phleum arenarium;Sand-rottehale;166678
Corynephorus canescens;Sandskæg;160927
Carex arenaria;Sand-star;159875
Selinum carvifolia;Seline;204409
Ulmus glabra;Skov-elm;170056
Stachys sylvatica;Skov-galtetand;129850
Scirpus sylvaticus;Skov-kogleaks;84512
Galium odoratum;Skovmærke;56065
Equisetum sylvaticum;Skov-padderok;118537
Carex sylvatica;Skov-star;69640
Lysimachia europaea;skovstjerne;716947
Oxalis acetosella;Skovsyre;69624
Viola reichenbachiana;Skov-viol;147293
Prunus spinosa;Slåen;55811
Typha angustifolia;Smalbladet dunhammer;60316
Eriophorum angustifolium;Smalbladet kæruld;127215
Dryopteris carthusiana;Smalbladet mangeløv;82564
Thymus serpyllum;Smalbladet timian;322051
Chrysosplenium oppositifolium;Småbladet milturt;69626
Juncus acutiflorus;Spidsblomstret siv;333981
Acer platanoides;Spids-løn;54763
Atriplex prostrata;Spyd-mælde;60176
Viola tricolor;Stedmoderblomst;55739
Geranium robertianum;Stinkende storkenæb;55925
Carex elata;Stiv star;82315
Carex echinata;Stjerne-star;76035
Rabelera holostea;stor fladstjerne;1024536
Centaurea scabiosa;Stor knopurt;84344
Polygonatum multiflorum;Stor konval;57418
Rhinanthus serotinus;Stor skjaller;167803
Agrostis gigantea;Stortoppet hvene;75314
Honckenya peploides;Strandarve;129446
Tripolium pannonicum;Strandasters;170020
Lathyrus japonicus;Strand-fladbælg;77638
Suaeda maritima;Strandgåsefod;169432
Bolboschoenus maritimus;Strand-Kogleaks;58345
Crambe maritima;Strandkål;55399
Artemisia maritima;Strandmalurt;503367
Atriplex littoralis;Strand-mælde;159077
Triglochin maritima;Strand-trehage;60264
Plantago maritima;Strand-vejbred;68543
Trifolium striatum;Stribet kløver;79432
Stellaria alsine;Sump-fladstjerne;169330
Galium uliginosum;Sump-snerre;208789
