scientific_name;common_name;taxon_id;;;;;;;;;
Juncus inflexus;Blågrå siv;164269;;;Stiv star;TRUE;;;;;FALSE
Knautia arvensis;Blåhat;129115;;;Stor fladstjerne;TRUE;;;;;TRUE
Jasione montana;Blåmunke;55022;;;Stor knopurt;TRUE;;;;;TRUE
Molinia caerulea;Blåtop;165499;;;Strand-annelgræs;FALSE;;;;;TRUE
Typha latifolia;Bredbladet dunhammer;48685;;;Strand-bede;FALSE;;;;;TRUE
Eriophorum latifolium;Bredbladet kæruld;334263;;;Strand-kvik;TRUE;;;;;FALSE
Dryopteris dilatata;Bredbladet mangeløv;359752;;;Strand-mælde;TRUE;;;;;TRUE
Thymus pulegioides;Bredbladet timian;169753;;;Strand-svingel;FALSE;;;;;TRUE
Rhynchospora fusca;Brun næbfrø;167869;;;Strand-trehage;TRUE;;;;;FALSE
Trifolium medium;Bugtet kløver;85065;;;Sump-fladstjerne;TRUE;;;;;TRUE
Menyanthes trifoliata;Bukkeblad;78016;;;Tue-star;TRUE;;;;;TRUE
Galium aparine;Burre-snerre;53059;;;Voldtimian;FALSE;;;;;TRUE
Rumex obtusifolius;Butbladet skræppe;63371;;;Vorte-birk;FALSE;;;;;TRUE
Populus tremula;Bævreasp;47571;;;Vår-star;TRUE;;;;;TRUE
Fagus sylvatica;Bøg;54227;;;Vår-vikke;TRUE;;;;;TRUE
Juncus squarrosus;Børste-siv;52633;;;;;;;;;FALSE
Silene dioica;Dag-Pragtstjerne;55759;;;;;;;;;FALSE
Astragalus danicus;Dansk astragel;334736;;;;;;;;;TRUE
Succisa pratensis;Djævelsbid;131203;;;;;;;;;TRUE
Arrhenatherum elatius;Draphavre;75583;;;;;;;;;FALSE
Sambucus racemosa;Drue-hyld;57824;;;;;;;;;FALSE
Betula pubescens;Dun-birk;119061;;;;;;;;;TRUE
Phegopteris connectilis;Dunbregne;122082;;;;;;;;;FALSE
Lonicera xylosteum;Dunet gedeblad;124548;;;;;;;;;TRUE
Avenula pubescens;Dunet havre;1318782;;;;;;;;;TRUE
Circaea lutetiana;Dunet steffensurt;51843;;;;;;;;;FALSE
Plantago media;Dunet vejbred;59779;;;;;;;;;TRUE
Equisetum fluviatile;Dynd-padderok;47745;;;;;;;;;TRUE
Melica uniflora;Enblomstret flitteraks;450670;;;;;;;;;TRUE
Juniperus communis;Ene;58725;;;;;;;;;TRUE
Trollius europaeus;Engblomme;59552;;;;;;;;;TRUE
Jacobaea vulgaris;Eng-brandbæger;62498;;;;;;;;;TRUE
Genista anglica;Engelsk visse;192621;;;;;;;;;TRUE
Armeria maritima;Engelskgræs;60476;;;;;;;;;TRUE
